NO,RSSI1,RSSI2,RSSI3,RSSI4,RSSI5,RSSI6,TARGET
144,-72,-78,-84,-70,-85,-72,31
145,-72,-79,-75,-70,-85,-71,31
146,-72,-72,-76,-71,-86,-71,31
147,-73,-79,-74,-71,-86,-72,31
148,-72,-71,-74,-70,-86,-72,31
149,-72,-79,-73,-70,-86,-71,31
150,-72,-78,-77,-71,-86,-71,31
151,-74,-79,-75,-71,-86,-73,31
152,-72,-78,-75,-71,-87,-72,31
153,-72,-78,-76,-71,-86,-72,31
154,-71,-78,-86,-70,-78,-72,31
155,-72,-78,-74,-70,-86,-72,31
156,-71,-78,-75,-70,-86,-73,31
157,-71,-78,-78,-70,-85,-72,31
158,-72,-79,-76,-70,-85,-72,31
159,-72,-78,-79,-70,-87,-71,31
160,-71,-79,-74,-71,-86,-71,31
161,-72,-79,-77,-70,-86,-72,31
162,-73,-78,-76,-70,-85,-72,31
163,-72,-78,-77,-70,-88,-72,31
164,-72,-77,-75,-70,-87,-72,31
165,-72,-77,-76,-70,-87,-72,31
166,-71,-72,-74,-70,-87,-87,31
167,-72,-77,-74,-71,-87,-72,31
168,-73,-77,-74,-71,-88,-72,31
169,-72,-77,-73,-71,-86,-71,31
170,-72,-76,-74,-71,-86,-72,31
171,-72,-77,-75,-70,-88,-72,31
172,-73,-77,-75,-71,-87,-72,31
173,-73,-78,-72,-71,-86,-73,31
174,-72,-77,-75,-70,-87,-71,31
175,-73,-78,-73,-71,-87,-73,31
176,-73,-78,-73,-71,-88,-72,31
177,-72,-77,-74,-71,-86,-71,31
178,-74,-78,-76,-70,-86,-71,31
179,-72,-76,-75,-71,-86,-71,31
180,-71,-77,-77,-70,-88,-72,31
181,-72,-77,-76,-71,-86,-72,31
182,-72,-77,-77,-70,-86,-72,31
183,-73,-77,-76,-70,-86,-72,31
184,-73,-77,-89,-71,-78,-73,31
185,-73,-78,-76,-70,-87,-71,31
186,-72,-77,-77,-70,-86,-71,31
187,-73,-77,-82,-70,-87,-73,31
188,-73,-77,-75,-71,-87,-73,31
189,-73,-76,-74,-71,-87,-72,31
190,-73,-77,-74,-71,-87,-73,31
191,-74,-77,-75,-71,-79,-71,31
192,-73,-77,-76,-70,-85,-72,31
193,-73,-76,-76,-71,-86,-71,31
194,-73,-78,-76,-70,-85,-73,31
195,-73,-78,-78,-70,-86,-72,31
196,-73,-77,-83,-70,-85,-83,31
197,-70,-76,-81,-66,-86,-83,31
198,-72,-76,-80,-70,-86,-72,31
199,-72,-76,-77,-70,-85,-71,31
200,-72,-76,-80,-70,-85,-72,31
201,-72,-75,-82,-69,-85,-72,31
202,-73,-77,-76,-67,-78,-72,31
203,-72,-75,-79,-71,-86,-81,31
204,-72,-77,-80,-69,-87,-73,31
205,-72,-76,-86,-69,-86,-72,31
206,-71,-74,-75,-67,-85,-80,31
207,-73,-76,-77,-70,-86,-72,31
208,-72,-77,-81,-70,-86,-72,31
209,-72,-76,-85,-69,-86,-72,31
210,-73,-77,-86,-69,-86,-73,31
211,-73,-77,-76,-69,-86,-72,31
212,-72,-77,-86,-69,-85,-72,31
213,-72,-77,-86,-69,-86,-73,31
214,-73,-76,-82,-70,-85,-73,31
215,-73,-77,-81,-70,-85,-73,31
216,-72,-77,-87,-69,-84,-74,31
217,-73,-77,-87,-70,-87,-73,31
218,-73,-75,-81,-69,-86,-73,31
219,-73,-77,-77,-69,-85,-72,31
220,-73,-76,-81,-70,-85,-74,31
221,-72,-74,-78,-67,-78,-83,31
222,-73,-78,-81,-69,-86,-73,31
223,-73,-75,-82,-67,-78,-79,31
224,-73,-78,-76,-69,-84,-72,31
225,-74,-76,-78,-70,-85,-74,31
226,-72,-76,-81,-69,-85,-73,31
227,-73,-76,-79,-70,-85,-71,31
228,-72,-77,-80,-69,-85,-73,31
229,-73,-77,-78,-69,-85,-74,31
230,-73,-76,-78,-69,-85,-73,31
231,-72,-77,-79,-70,-85,-73,31
232,-71,-76,-77,-69,-86,-73,31
233,-73,-74,-75,-70,-87,-75,31
234,-73,-73,-74,-65,-79,-77,31
235,-73,-75,-79,-69,-85,-73,31
236,-73,-75,-78,-69,-85,-74,31
237,-73,-77,-79,-70,-85,-73,31
238,-73,-78,-81,-69,-85,-73,31
239,-73,-75,-79,-70,-85,-73,31
240,-73,-76,-80,-69,-85,-73,31
241,-71,-77,-83,-70,-85,-72,31
242,-73,-75,-80,-69,-85,-72,31
243,-71,-73,-78,-70,-78,-75,31
244,-73,-77,-82,-70,-85,-72,31
245,-73,-76,-80,-69,-84,-72,31
246,-74,-74,-78,-70,-86,-71,31
247,-72,-76,-81,-69,-86,-72,31
248,-72,-75,-74,-69,-86,-72,31
249,-72,-75,-79,-70,-86,-73,31
250,-72,-77,-79,-69,-84,-71,31
251,-73,-76,-85,-70,-85,-73,31
252,-73,-76,-82,-70,-85,-72,31
253,-73,-77,-82,-70,-85,-73,31
254,-73,-76,-79,-70,-85,-74,31
255,-72,-77,-76,-72,-88,-83,31
256,-73,-78,-73,-74,-87,-80,31
257,-72,-76,-75,-68,-88,-85,31
258,-72,-77,-75,-73,-88,-85,31
259,-71,-76,-75,-73,-89,-78,31
260,-71,-76,-76,-72,-89,-77,31
261,-72,-76,-74,-71,-87,-75,31
262,-72,-76,-73,-74,-88,-80,31
263,-71,-76,-74,-73,-89,-84,31
264,-71,-75,-75,-72,-89,-78,31
265,-71,-75,-74,-71,-89,-78,31
266,-69,-74,-72,-72,-90,-82,31
267,-73,-74,-74,-72,-90,-85,31
268,-73,-76,-76,-71,-89,-85,31
269,-73,-76,-75,-72,-89,-86,31
270,-72,-74,-73,-72,-90,-77,31
